Vendor_ID,Vendor_Name,Category,Country,Region,Status,Onboarding_Date,Last_Updated,Contact_Email,Account_Code,Data_Source,Verified_By,Record_Status
VND-0667,Vendor Solutions 125,Legal,India,APAC,Active,16/06/2020,25/12/2020,vendor.solutions.125@corp.net,ACC-4027,SAP,,Clean
VND-0602,Vendor Group 730,IT,Germany,EMEA,Active,15-03-2021,28/05/2024,vendor.group.730@yahoo.com,ACC-2926,Oracle,Ravi K.,Clean
VND-0704,Vendor Solutions 93,IT,Germany,EMEA,Active,24/10/2020,19/10/2021,vendor.solutions.93@vendor.com,ACC-1399,Legacy System,James T.,Clean
VND-0866,Vendor Corp 758,HR,India,APAC,Active,29/11/2022,02/01/2023,vendor.corp.758@gmail.com,ACC-7841,Legacy System,Sarah L.,Clean
VND-0912,Vendor Tech 935,Marketing,UK,EMEA,Active,02/05/2019,11/08/2019,vendor.tech.935@yahoo.com,ACC-5654,Oracle,Ravi K.,Clean
VND-0360,Vendor Solutions 604,Marketing,USA,AMER,Active,21/04/2022,25/06/2022,vendor.solutions.604@yahoo.com,ACC-1029,Legacy System,Sarah L.,Clean
VND-0315,Vendor Delta 644,Legal,USA,AMER,Under Review,18/12/2023,07/04/2024,vendor.delta.644@gmail.com,ACC-2646,Oracle,Priya S.,Clean
VND-0763,Vendor Omega 138,Finance,Singapore,APAC,Active,24/03/2020,09/01/2021,vendor.omega.138@vendor.com,ACC-9837,Legacy System,James T.,Clean
VND-0862,Vendor Prime 133,Legal,Australia,APAC,Inactive,28/04/2020,18/04/2021,vendor.prime.133@yahoo.com,ACC-8461,Legacy System,Priya S.,Clean
VND-0024,Vendor Ltd 772,Marketing,USA,AMER,Active,12/06/2024,13/02/2025,vendor.ltd.772@yahoo.com,ACC-7570,SAP,Ravi K.,Clean
VND-0031,Vendor Delta 519,Finance,USA,AMER,Under Review,09/10/2019,11/02/2020,vendor.delta.519@outlook.com,ACC-5669,Oracle,James T.,Clean
VND-0539,Vendor Alpha 273,Marketing,Germany,EMEA,Active,09/04/2024,10/07/2024,vendor.alpha.273@yahoo.com,ACC-5097,Legacy System,Priya S.,Clean
VND-0534,Vendor Beta 433,Legal,USA,AMER,Active,18/01/2022,12/06/2022,noatsign.com,ACC-5404,Legacy System,Ravi K.,Clean
VND-0219,Vendor Solutions 790,Logistics,India,APAC,Under Review,08/10/2020,04/05/2021,,ACC-8822,Oracle,Anita M.,Clean
VND-0443,Vendor Group 816,Marketing,Singapore,APAC,Active,12/07/2019,23/01/2020,vendor.group.816@vendor.com,ACC-7825,Manual Entry,Sarah L.,Clean
VND-0089,Vendor Tech 447,Legal,Canada,AMER,Active,09/01/2020,05/09/2020,vendor.tech.447@outlook.com,ACC-7690,Manual Entry,Anita M.,Clean
VND-0319,Vendor Solutions 609,IT,Australia,APAC,Inactive,19/02/2019,22/08/2019,vendor.solutions.609@outlook.com,ACC-3162,Legacy System,Sarah L.,Clean
VND-0540,Vendor Beta 998,Marketing,Singapore,APAC,Active,20/12/2023,24/04/2024,vendor.beta.998@gmail.com,ACC-4263,Legacy System,,Clean
VND-0709,Vendor Zeta 245,Operations,India,APAC,Active,09/05/2021,01/09/2021,vendor.zeta.245@outlook.com,ACC-6778,Manual Entry,Sarah L.,Clean
VND-0589,Vendor Prime 764,Marketing,Singapore,APAC,Under Review,26/01/2022,13/04/2022,vendor.prime.764@yahoo.com,ACC-2749,Oracle,Ravi K.,Clean
VND-0842,Vendor Corp 774,IT,India,APAC,Inactive,22/02/2020,05/12/2020,vendor.corp.774@gmail.com,ACC-9311,SAP,Ravi K.,Clean
VND-0545,Vendor Delta 162,HR,India,APAC,Active,18/10/2022,03/09/2023,vendor.delta.162@gmail.com,ACC-1979,Manual Entry,,Clean
VND-0216,Vendor Group 824,Logistics,UK,EMEA,Active,20/11/2019,15/05/2020,vendor.group.824@vendor.com,ACC-5201,Legacy System,Ravi K.,Clean
VND-0108,Vendor Omega 707,Finance,Germany,EMEA,Inactive,26/03/2021,08/10/2021,vendor.omega.707@vendor.com,ACC-2747,Oracle,James T.,Clean
VND-0775,Vendor Solutions 721,Operations,Canada,AMER,Active,06/08/2024,23/11/2024,vendor.solutions.721@vendor.com,ACC-5389,Legacy System,Sarah L.,Clean
VND-0446,Vendor Alpha 439,Finance,Australia,APAC,Active,21/10/2020,16/08/2021,vendor.alpha.439@outlook.com,ACC-1092,Manual Entry,James T.,Clean
VND-0281,Vendor Solutions 681,Finance,USA,AMER,Active,01/07/2019,14/04/2020,vendor.solutions.681@vendor.com,ACC-6432,Legacy System,Priya S.,Clean
VND-0372,Vendor Global 397,Logistics,UK,EMEA,Inactive,22/02/2023,28/05/2023,vendor.global.397@vendor.com,ACC-1731,Manual Entry,James T.,Clean
VND-0328,Vendor Global 369,IT,Germany,EMEA,Inactive,14/11/2020,21/05/2021,vendor.global.369@yahoo.com,ACC-5179,SAP,Sarah L.,Clean
VND-0232,Vendor Prime 829,IT,Germany,EMEA,Active,29/08/2023,18/04/2024,vendor.prime.829@corp.net,ACC-1945,Legacy System,,Clean
VND-0693,Vendor Alpha 948,Operations,USA,AMER,Active,30/04/2019,03/01/2020,vendor.alpha.948@corp.net,ACC-2901,SAP,Ravi K.,Clean
VND-0040,Vendor Corp 482,Logistics,USA,AMER,Inactive,29/02/2024,26/08/2024,vendor.corp.482@outlook.com,ACC-4728,Oracle,Priya S.,Clean
VND-0755,Vendor Prime 536,Legal,Singapore,APAC,Active,10/08/2020,28/02/2021,vendor.prime.536@vendor.com,ACC-2666,Oracle,Priya S.,Clean
VND-0311,Vendor Solutions 94,Legal,India,APAC,Active,07/05/2024,15/06/2024,vendor.solutions.94@yahoo.com,ACC-4705,Legacy System,Priya S.,Clean
VND-0262,Vendor Ltd 44,Logistics,USA,,Under Review,01/05/2024,16/09/2024,vendor.ltd.44@gmail.com,ACC-2218,Manual Entry,Sarah L.,Clean
VND-0592,Vendor Prime 141,Logistics,USA,AMER,Active,01/08/2023,08/08/2023,vendor.prime.141@outlook.com,ACC-7767,Oracle,,Clean
VND-0060,Vendor Tech 578,Legal,India,APAC,Active,22/10/2023,30/12/2023,vendor.tech.578@vendor.com,ACC-3977,SAP,Anita M.,Clean
VND-0568,Vendor Epsilon 537,IT,UK,EMEA,Active,04/09/2020,18/02/2021,vendor.epsilon.537@corp.net,ACC-4617,Oracle,Priya S.,Clean
VND-0137,Vendor Services 649,IT,India,APAC,Inactive,31/05/2021,09/12/2021,vendor.services.649@vendor.com,ACC-8432,Manual Entry,Ravi K.,Clean
VND-0097,Vendor Epsilon 841,IT,UK,EMEA,Inactive,28/06/2024,12/09/2024,vendor.epsilon.841@vendor.com,ACC-9824,Legacy System,Anita M.,Clean
VND-0297,Vendor Group 469,Operations,Singapore,APAC,Inactive,21/07/2024,28/04/2025,vendor.group.469@corp.net,ACC-2854,SAP,Anita M.,Clean
VND-0920,Vendor Prime 184,Finance,Singapore,APAC,Active,02/06/2024,10/02/2025,vendor.prime.184@vendor.com,ACC-5396,Legacy System,,Clean
VND-0433,Vendor Corp 689,Operations,India,APAC,Inactive,20/01/2024,10/09/2024,vendor.corp.689@corp.net,,Oracle,James T.,Clean
VND-0260,Vendor Corp 869,IT,Singapore,APAC,Under Review,10/05/2019,26/06/2019,vendor.corp.869@vendor.com,ACC-7213,Legacy System,Sarah L.,Clean
VND-0759,Vendor Beta 756,IT,Canada,AMER,Active,20/04/2019,20/07/2019,vendor.beta.756@vendor.com,ACC-6356,Oracle,Anita M.,Clean
VND-0786,Vendor Prime 733,Finance,Canada,AMER,under review,23/05/2019,26/04/2020,vendor.prime.733@gmail.com,ACC-4926,Manual Entry,Sarah L.,Clean
VND-0071,Vendor Group 265,Finance,UK,EMEA,Inactive,05/02/2022,16/11/2022,vendor.group.265@gmail.com,ACC-9464,Oracle,Priya S.,Clean
VND-0722,Vendor Gamma 5,Legal,Australia,APAC,Under Review,2023.06.15,15/08/2023,vendor.gamma.5@outlook.com,ACC-8764,Manual Entry,Sarah L.,Clean
VND-0310,Vendor Solutions 370,Finance,India,APAC,Active,08/11/2020,04/12/2020,vendor.solutions.370@vendor.com,ACC-6005,Oracle,James T.,Clean
VND-0586,Vendor Ltd 620,Finance,Germany,EMEA,Active,26/04/2021,26/03/2022,vendor.ltd.620@yahoo.com,ACC-9869,Oracle,Ravi K.,Clean
VND-0278,Vendor Delta 449,Marketing,UK,EMEA,Inactive,11/10/2019,07/05/2020,vendor.delta.449@vendor.com,ACC-3280,Manual Entry,Ravi K.,Clean
VND-0685,Vendor Beta 281,Logistics,Canada,AMER,Active,24/02/2023,04/12/2023,vendor.beta.281@yahoo.com,ACC-8187,Oracle,Sarah L.,Clean
VND-0689,Vendor Beta 643,Marketing,Canada,AMER,Active,12/09/2023,14/09/2023,vendor.beta.643@corp.net,ACC-4860,Oracle,Priya S.,Clean
VND-0169,Vendor Alpha 263,Logistics,Canada,AMER,Active,01/12/2024,05/07/2025,vendor.alpha.263@gmail.com,ACC-5720,Oracle,Anita M.,Clean
VND-0064,Vendor Epsilon 786,Finance,USA,AMER,Active,14/04/2020,06/07/2020,vendor.epsilon.786@outlook.com,ACC-2771,SAP,Anita M.,Clean
VND-0810,Vendor Zeta 96,Logistics,Canada,AMER,Active,20/11/2020,07/08/2021,vendor.zeta.96@outlook.com,ACC-4479,SAP,Sarah L.,Clean
VND-0175,Vendor Gamma 851,Marketing,Singapore,APAC,Active,14/05/2024,02/04/2025,vendor.gamma.851@yahoo.com,ACC-3209,SAP,,Clean
VND-0591,Vendor Beta 705,Marketing,Germany,EMEA,Active,04/04/2024,03/04/2025,vendor.beta.705@outlook.com,ACC-4014,Legacy System,James T.,Clean
VND-0630,Vendor Gamma 30,HR,Singapore,APAC,Active,21/04/2023,18/05/2023,vendor.gamma.30@gmail.com,ACC-7987,Legacy System,Ravi K.,Clean
VND-0821,Vendor Solutions 925,Finance,Canada,AMER,Active,18/10/2023,17/03/2024,vendor.solutions.925@corp.net,ACC-1781,SAP,Priya S.,Clean
VND-0760,Vendor Tech 639,IT,Canada,AMER,Active,2023.06.15,09/07/2025,vendor.tech.639@vendor.com,ACC-4308,Manual Entry,,Clean
VND-0801,Vendor Solutions 663,HR,India,APAC,Active,29/06/2020,11/12/2020,vendor.solutions.663@vendor.com,,Legacy System,,Clean
VND-0804,Vendor Omega 688,Finance,USA,AMER,Under Review,18/06/2019,10/04/2020,vendor.omega.688@yahoo.com,ACC-5264,Oracle,Sarah L.,Clean
VND-0661,Vendor Group 945,Operations,USA,AMER,Active,17/05/2023,14/01/2024,vendor.group.945@outlook.com,ACC-3378,Legacy System,Priya S.,Clean
VND-0849,Vendor Omega 63,HR,Canada,AMER,Active,10/09/2020,01/07/2021,vendor.omega.63@gmail.com,ACC-9516,Manual Entry,James T.,Clean
VND-0678,Vendor Prime 753,Logistics,USA,AMER,Active,14/04/2019,11/02/2020,vendor.prime.753@yahoo.com,ACC-9015,Legacy System,Priya S.,Clean
VND-0015,Vendor Zeta 501,IT,India,APAC,Under Review,13/06/2022,13/10/2022,vendor.zeta.501@gmail.com,ACC-4946,SAP,Priya S.,Clean
VND-0313,Vendor Omega 92,Legal,Canada,AMER,Active,07/07/2022,11/01/2023,vendor.omega.92@outlook.com,ACC-3246,Legacy System,Ravi K.,Clean
VND-0087,Vendor Tech 41,HR,Singapore,APAC,Active,22/10/2021,04/11/2021,vendor.tech.41@gmail.com,ACC-4750,SAP,,Clean
VND-0276,Vendor Epsilon 753,Legal,Singapore,APAC,Active,19/09/2021,04/03/2022,vendor.epsilon.753@vendor.com,ACC-5592,Legacy System,Anita M.,Clean
VND-0598,Vendor Prime 93,Legal,Australia,APAC,Active,08/07/2020,25/01/2021,vendor.prime.93@vendor.com,ACC-6299,Legacy System,Priya S.,Clean
VND-0293,Vendor Omega 434,Logistics,Germany,EMEA,Active,10/12/2020,20/09/2021,vendor.omega.434@yahoo.com,ACC-9022,Manual Entry,Ravi K.,Clean
VND-0211,Vendor Alpha 452,Finance,Germany,EMEA,Active,15/04/2021,11/11/2021,@gmail.com,ACC-8726,SAP,,Clean
VND-0752,Vendor Group 370,Legal,UK,EMEA,Active,16/06/2019,28/07/2019,vendor.group.370@outlook.com,ACC-9088,SAP,James T.,Clean
VND-0487,Vendor Solutions 442,Operations,Germany,EMEA,Active,27/06/2019,18/06/2020,vendor.solutions.442@corp.net,ACC-8028,Oracle,James T.,Clean
VND-0363,Vendor Epsilon 215,Logistics,Singapore,APAC,Active,17/11/2021,11/01/2022,vendor.epsilon.215@gmail.com,ACC-1788,Legacy System,James T.,Clean
VND-0352,Vendor Alpha 829,HR,Australia,APAC,Active,11/08/2021,31/10/2021,vendor.alpha.829@gmail.com,ACC-5060,Oracle,Anita M.,Clean
VND-0502,  Vendor Beta 516  ,Finance,UK,EMEA,Under Review,03/10/2024,11/02/2025,vendor.beta.516@corp.net,ACC-5098,Legacy System,James T.,Clean
VND-0900,Vendor Ltd 822,HR,India,APAC,Active,04/11/2023,07/12/2023,vendor.ltd.822@gmail.com,ACC-1914,SAP,Anita M.,Clean
VND-0424,Vendor Solutions 657,HR,USA,AMER,Inactive,12/08/2019,17/08/2019,vendor.solutions.657@yahoo.com,ACC-9283,Legacy System,James T.,Clean
VND-0715,Vendor Alpha 893,Marketing,USA,AMER,Inactive,29/10/2024,24/09/2025,vendor.alpha.893@outlook.com,ACC-7745,Manual Entry,,Clean
VND-0639,Vendor Ltd 729,logistic,Canada,AMER,Active,11/03/2024,24/08/2024,vendor.ltd.729@corp.net,ACC-2599,Legacy System,Ravi K.,Clean
VND-0712,Vendor Ltd 906,HR,India,APAC,Active,02/01/2021,29/05/2021,vendor.ltd.906@gmail.com,ACC-2791,Oracle,Anita M.,Clean
VND-0833,Vendor Tech 743,Operations,Singapore,APAC,Under Review,21/06/2024,17/10/2024,noatsign.com,ACC-9655,SAP,James T.,Clean
VND-0930,Vendor Corp 473,Finance,Canada,AMER,Active,08/02/2021,15/09/2021,vendor.corp.473@vendor.com,ACC-4433,Legacy System,James T.,Clean
VND-0817,Vendor Group 443,Legal,Canada,AMER,Under Review,21/06/2020,21/12/2020,vendor.group.443@gmail.com,ACC-7020,Oracle,James T.,Clean
VND-0520,Vendor Corp 696,Operations,USA,AMER,Inactve,15/12/2020,09/05/2021,vendor.corp.696@outlook.com,ACC-6326,Legacy System,,Clean
VND-0056,Vendor Gamma 724,Logistics,India,APAC,Active,17/09/2022,21/06/2023,noatsign.com,ACC-7812,SAP,Ravi K.,Clean
VND-0537,Vendor Services 449,Legal,India,APAC,Active,09/09/2020,16/09/2020,vendor.services.449@vendor.com,ACC-4558,Manual Entry,James T.,Clean
VND-0686,Vendor Alpha 137,IT,Canada,AMER,Inactive,21/03/2023,09/06/2023,vendor.alpha.137@gmail.com,ACC-8978,SAP,Priya S.,Clean
VND-0245,Vendor Omega 992,HR,Australia,APAC,Active,10/05/2023,11/09/2023,vendor.omega.992@outlook.com,ACC-4331,Manual Entry,,Clean
VND-0073,Vendor Beta 302,Logistics,Germany,EMEA,Active,08/06/2022,13/05/2023,vendor.beta.302@corp.net,ACC-7046,Legacy System,Sarah L.,Clean
VND-0267,Vendor Delta 365,Operations,Germany,EMEA,Active,06/04/2023,19/05/2023,vendor.delta.365@corp.net,ACC-5839,Oracle,,Clean
VND-0045,Vendor Solutions 943,legal,Australia,APAC,Active,25/05/2020,25/10/2020,vendor.solutions.943@corp.net,ACC-6067,Legacy System,Anita M.,Clean
VND-0121,Vendor Solutions 218,Legal,Singapore,APAC,Active,29/03/2019,23/04/2019,vendor.solutions.218@outlook.com,ACC-4990,Oracle,Sarah L.,Clean
VND-0306,Vendor Beta 749,HR,Singapore,APAC,Active,07/01/2023,08/02/2023,vendor.beta.749@corp.net,ACC-7516,Oracle,James T.,Clean
VND-0616,Vendor Zeta 854,Finance,Singapore,APAC,Active,27/04/2024,15/05/2024,vendor.zeta.854@yahoo.com,ACC-8888,Oracle,,Clean
VND-0657,Vendor Gamma 932,Operations,Singapore,APAC,Active,04/01/2024,11/07/2024,vendor.gamma.932@yahoo.com,ACC-5280,Oracle,James T.,Clean
VND-0266,Vendor Zeta 620,Marketing,Australia,APAC,Under Review,13/06/2023,27/11/2023,vendor.zeta.620@gmail.com,ACC-5478,Legacy System,James T.,Clean
VND-0585,Vendor Gamma 90,Legal,Germany,EMEA,Active,20/07/2021,18/02/2022,vendor.gamma.90@yahoo.com,ACC-3502,Legacy System,Anita M.,Clean
VND-0531,Vendor Alpha 536,Marketing,Canada,AMER,Inactive,09/11/2022,04/04/2023,vendor.alpha.536@vendor.com,ACC-9767,SAP,,Clean
VND-0364,Vendor Services 430,Logistics,Germany,EMEA,Active,01/04/2023,27/09/2023,vendor.services.430@corp.net,ACC-7149,SAP,James T.,Clean
VND-0666,Vendor Delta 743,Opreations,UK,EMEA,Active,08/04/2019,19/02/2020,vendor.delta.743@gmail.com,ACC-1931,Oracle,Sarah L.,Clean
VND-0210,Vendor Prime 175,Operations,Singapore,APAC,under review,07/04/2023,21/06/2023,vendor.prime.175@yahoo.com,ACC-1517,SAP,Ravi K.,Clean
VND-0335,,Legal,Canada,AMER,Active,09/02/2019,30/07/2019,vendor.global.355@gmail.com,ACC-7164,Manual Entry,Priya S.,Clean
VND-0850,Vendor Omega 908,Legal,Singapore,APAC,Active,31/05/2022,07/11/2022,vendor.omega.908@outlook.com,ACC-1129,Manual Entry,Sarah L.,Clean
VND-0815,Vendor Services 73,Operations,Australia,APAC,INACTIVE,22/06/2023,30/10/2023,vendor.services.73@yahoo.com,ACC-4933,Legacy System,Priya S.,Clean
VND-0747,Vendor Beta 150,Marketing,Singapore,APAC,Under Review,25/11/2022,24/05/2023,vendor.beta.150@yahoo.com,ACC-9202,Oracle,Sarah L.,Clean
VND-0200,Vendor Alpha 298,HR,Canada,AMER,Active,13/10/2021,02/01/2022,vendor.alpha.298@outlook.com,ACC-6123,Oracle,Ravi K.,Clean
VND-0495,Vendor Solutions 6,Marketing,India,APAC,Inactive,15/04/2024,16/02/2025,vendor.solutions.6@vendor.com,ACC-2444,SAP,Anita M.,Clean
VND-0923,Vendor Epsilon 456,Operations,UK,EMEA,Active,18/06/2019,11/02/2020,vendor.epsilon.456@corp.net,ACC-6511,Legacy System,James T.,Clean
VND-0457,Vendor Omega 444,Finance,India,APAC,Active,29/04/2020,27/01/2021,vendor.omega.444@gmail.com,ACC-2036,SAP,,Clean
VND-0282,Vendor Alpha 101,Finance,USA,AMER,Active,25/10/2024,06/08/2025,vendor.alpha.101@corp.net,ACC-4621,Legacy System,Anita M.,Clean
VND-0061,Vendor Omega 336,Logistics,Germany,EMEA,Active,02/04/2023,22/08/2023,vendor.omega.336@vendor.com,ACC-5133,SAP,James T.,Clean
VND-0449,Vendor Gamma 426,Operations,Australia,APAC,Active,02/12/2022,25/03/2023,vendor.gamma.426@yahoo.com,ACC-6437,Manual Entry,Anita M.,Clean
VND-0423,Vendor Corp 347,Operations,Australia,APAC,Active,26/01/2020,03/09/2020,vendor.corp.347@yahoo.com,ACC-8895,Manual Entry,,Clean
VND-0381,Vendor Epsilon 413,Logistics,Australia,APAC,Active,04/07/2023,23/07/2023,vendor.epsilon.413@vendor.com,ACC-6431,Oracle,Priya S.,Clean
VND-0324,Vendor Corp 245,IT,USA,AMER,Active,15/11/2023,13/01/2024,,ACC-1901,Manual Entry,,Clean
VND-0583,Vendor Prime 403,HR Dept,USA,AMER,Active,12/12/2022,11/06/2023,vendor.prime.403@outlook.com,ACC-4869,Manual Entry,Priya S.,Clean
VND-0159,Vendor Zeta 317,Logistics,USA,AMER,Active,14/06/2024,20/09/2024,vendor.zeta.317@yahoo.com,ACC-3253,Oracle,Priya S.,Clean
VND-0550,Vendor Global 376,logistic,India,APAC,Inactive,03/09/2024,16/03/2025,vendor.global.376@yahoo.com,ACC-1306,Manual Entry,Sarah L.,Clean
VND-0607,Vendor Gamma 166,Legal,UK,EMEA,Actve,27/12/2020,17/08/2021,vendor.gamma.166@corp.net,ACC-6901,SAP,Priya S.,Clean
VND-0199,Vendor Global 576,IT,UK,EMEA,Active,16/05/2020,29/09/2020,vendor.global.576@vendor.com,ACC-5061,Oracle,Priya S.,Clean
VND-0757,Vendor Group 731,Marketing,Australia,APAC,Active,28/06/2023,27/12/2023,vendor.group.731@vendor.com,ACC-7626,Legacy System,Sarah L.,Clean
VND-0111,,Finance,Singapore,APAC,Inactive,14/07/2020,,vendor.delta.636@gmail.com,ACC-1645,Manual Entry,James T.,Clean
VND-0619,Vendor Epsilon 861,IT,UK,EMEA,Under Review,28/12/2024,22/03/2025,vendor.epsilon.861@corp.net,ACC-7382,Oracle,Sarah L.,Clean
VND-0904,Vendor Omega 493,Legal,Australia,APAC,Active,22/09/2021,01/12/2021,vendor.omega.493@gmail.com,,Oracle,Anita M.,Clean
VND-0889,Vendor Delta 761,IT,Canada,AMER,Active,05/01/2023,13/04/2023,vendor.delta.761@gmail.com,ACC-5967,Oracle,Ravi K.,Clean
VND-0300,Vendor Corp 121,Marketing,Canada,AMER,Active,07/12/2022,05/12/2023,vendor.corp.121@corp.net,ACC-8015,Oracle,Sarah L.,Clean
VND-0356,Vendor Tech 225,IT,Australia,APAC,Active,20/09/2022,31/07/2023,vendor.tech.225@yahoo.com,ACC-3137,Manual Entry,,Clean
VND-0548,Vendor Epsilon 556,Legal,Germany,EMEA,Active,03/02/2021,08/11/2021,vendor.epsilon.556@outlook.com,ACC-6303,Legacy System,Anita M.,Clean
VND-0383,  Vendor Gamma 308  ,Legal,Germany,EMEA,Inactive,07/08/2022,22/12/2022,vendor.gamma.308@vendor.com,ACC-2462,Oracle,James T.,Clean
VND-0405,,IT,UK,EMEA,Inactive,15/12/2024,22/03/2025,vendor.zeta.973@gmail.com,ACC-1067,Oracle,Ravi K.,Clean
VND-0614,Vendor Group 653,Opreations,India,APAC,Active,27/02/2022,07/07/2022,vendor.group.653@gmail.com,ACC-6042,Manual Entry,Sarah L.,Clean
VND-0358,Vendor Corp 374,IT,UK,EMEA,Inactive,09/06/2023,04/04/2024,vendor.corp.374@gmail.com,ACC-6514,Manual Entry,Anita M.,Clean
VND-0185,Vendor Beta 27,Legal,USA,AMER,Active,05/05/2023,16/02/2024,vendor.beta.27@gmail.com,ACC-5288,Manual Entry,,Clean
VND-0138,Vendor Zeta 320,Legal,UK,EMEA,Inactive,14/12/2019,09/01/2020,vendor.zeta.320@yahoo.com,ACC-3579,SAP,,Clean
VND-0452,Vendor Services 290,IT,Australia,APAC,Inactive,16/03/2023,04/12/2023,vendor.services.290@corp.net,,Legacy System,Priya S.,Clean
VND-0543,Vendor Corp 683,Logistics,India,APAC,Active,14/11/2023,28/04/2024,vendor.corp.683@gmail.com,ACC-3742,Manual Entry,Sarah L.,Clean
VND-0569,Vendor Solutions 750,HR,Germany,EMEA,Inactive,29/08/2024,14/10/2024,vendor.solutions.750@yahoo.com,ACC-8076,Manual Entry,James T.,Clean
VND-0735,Vendor Omega 890,Finance,Singapore,APAC,Active,04/05/2020,11/11/2020,vendor.omega.890@corp.net,ACC-1287,Manual Entry,Ravi K.,Clean
VND-0429,Vendor Zeta 846,IT,Canada,AMER,Active,05/02/2024,23/07/2024,vendor.zeta.846@corp.net,ACC-8751,Manual Entry,,Clean
VND-0546,Vendor Gamma 719,Operations,Canada,AMER,Active,21/06/2024,18/10/2024,vendor.gamma.719@outlook.com,ACC-6690,Legacy System,,Clean
VND-0860,Vendor Global 413,Operations,Australia,APAC,Active,06/06/2023,19/10/2023,vendor.global.413@corp.net,ACC-9172,Legacy System,James T.,Clean
VND-0351,Vendor Ltd 580,Operations,UK,EMEA,Active,06/01/2021,19/01/2021,vendor@,ACC-4588,SAP,Anita M.,Clean
VND-0645,Vendor Services 605,HR,Singapore,APAC,Active,17/04/2023,10/11/2023,vendor.services.605@vendor.com,ACC-8130,Oracle,,Clean
VND-0911,Vendor Zeta 11,IT,UK,EMEA,Active,16/04/2020,27/06/2020,vendor.zeta.11@outlook.com,ACC-8215,Oracle,,Clean
VND-0465,Vendor Epsilon 635,IT,USA,AMER,Active,20/01/2024,06/07/2024,vendor.epsilon.635@corp.net,ACC-6008,Oracle,Sarah L.,Clean
